video_id,video_title,video_url,type_name,cid,video_time,redis_task_id,is_download,add_time
52394436,38岁的陈冠希，一部混剪回顾他的电影与人生,https://www.bilibili.com/video/av52394436,影视|影视剪辑|经典,91691961,208,,f,2019/6/5
52401889,李安拍做饭这段，真是太经典了，看得口水来,https://www.bilibili.com/video/av52401889,影视|影视剪辑|经典,91710175,233,,f,2019/6/5
52403788,这么帅气的女孩子讲起英语来却这么软萌，真的爱惹！！！,https://www.bilibili.com/video/av52403788,影视|影视剪辑|经典,91827789,87,,f,2019/6/5
52436865,【中文字幕】权力的游戏演员们对第八季的大吐槽,https://www.bilibili.com/video/av52436865,影视|影视剪辑|电视剧,91770422,178,,f,2019/6/5
52450381,人类圈养三位超能力者，每日以营养液浸泡，只为让他们预测未来！,https://www.bilibili.com/video/av52450381,影视|影视杂谈|影视剪影,91794786,184,,f,2019/6/5
52498829,【大侦探皮卡丘/绅探】傲娇侦探组 皮卡丘x罗非 (伪预告),https://www.bilibili.com/video/av52498829,影视|影视剪辑|影视剪辑,91926175,160,,f,2019/6/5
52520533,小伙对女孩一见钟情，心中的火焰越烧越旺，只能不断的用水浇灭,https://www.bilibili.com/video/av52520533,影视|影视杂谈|爱情,91914471,138,,f,2019/6/5
52526426,【迪迪】轰动一时的杀妻案，苏格兰史上最长诉讼案，这部真实案例改编的英剧，值得一看！,https://www.bilibili.com/video/av52526426,影视|影视杂谈|电影解说,91924914,287,,f,2019/6/5
52528531,【易燃易爆炸 Remix 开到荼蘼】【民国女子群像】【混剪】再低微的骨子里也有山河，何况如此盛世美颜,https://www.bilibili.com/video/av52528531,影视|影视剪辑|影视剪辑,91921618,197,,f,2019/6/5
52536377,【鸡哥】日本深夜剧《可以不可以别顶了》，最骚撩妹话术！,https://www.bilibili.com/video/av52536377,影视|影视杂谈|搞笑,91941668,228,,f,2019/6/5
52551354,敌人太强大地球生命死伤62亿，人类被迫跑到14万光年外，苟且偷生,https://www.bilibili.com/video/av52551354,影视|影视杂谈|科幻,91956727,273,,f,2019/6/5
52563402,【tbbt】生活大爆炸完结纪念|十二季混剪|The Big Bang Theory Theme|有彩蛋|谢尔顿、艾米、莱纳德、佩妮、霍华德、伯纳黛特、拉杰再见~,https://www.bilibili.com/video/av52563402,影视|影视剪辑|影视剪辑,92032152,294,,f,2019/6/5
52571640,雷神被曝续约两部电影！《雷神4》在列，或遇到比灭霸可怕的反派,https://www.bilibili.com/video/av52571640,影视|影视杂谈|漫威,91994201,128,,f,2019/6/5
52579989,【漫威/怀旧纪念向】夜空中最亮的星｜盾铁/锤基｜给自己的生贺,https://www.bilibili.com/video/av52579989,影视|影视剪辑|影视剪辑,92014179,200,,f,2019/6/5
52602274,美队牺牲？原来《复联4终局之战》还有另一个结局,https://www.bilibili.com/video/av52602274,影视|影视杂谈|漫威,92053044,247,,f,2019/6/5
52611595,舔屏时间到！最喜欢的颜，国内外的美人儿。,https://www.bilibili.com/video/av52611595,影视|影视剪辑|经典,92072060,214,,f,2019/6/5
52613191,【漫威/10个蜘蛛侠/踩点转场衔接/高燃】前方高能！让人舒服的全程转场与衔接！穿越平行宇宙的混剪！,https://www.bilibili.com/video/av52613191,影视|影视剪辑|影视剪辑,92066101,185,,f,2019/6/5
52620425,钢铁侠一生最帅的3个瞬间（扛着核弹上太空#复联4打响指等）全程高能 !!!!!!!,https://www.bilibili.com/video/av52620425,影视|影视剪辑|经典,92086476,262,,f,2019/6/5
52646543,【超凡蜘蛛侠/加菲/虐燃】没能抓住你，是我一生的遗憾。,https://www.bilibili.com/video/av52646543,影视|影视剪辑|影视剪辑,92133152,227,,f,2019/6/5
52648643,【舔屏向】【踩点向】你就是优雅的化身，行走的美貌！,https://www.bilibili.com/video/av52648643,影视|影视剪辑|剪辑,92137626,185,,f,2019/6/5
52661239,漫威全家福复联版We Didn't Start the Fire,https://www.bilibili.com/video/av52661239,影视|影视剪辑|剪辑,92159589,134,,f,2019/6/5
52661447,复联4：将终局大战镜头放大50倍后，一个隐藏极深的BUG出现了,https://www.bilibili.com/video/av52661447,影视|影视剪辑|影视剪影,92158981,140,,f,2019/6/5
52661958,【三七×鱼姬】古装·黄泉×人鱼江湖混剪·最终都随风飘散·鲛人之殇,https://www.bilibili.com/video/av52661958,影视|影视剪辑|古装,92160512,177,,f,2019/6/5
52665311,【彩虹】5.17国际不再恐同日——LGBT影视、采访混剪,https://www.bilibili.com/video/av52665311,影视|影视剪辑|爱情,92205715,291,,f,2019/6/5
52669589,killing eve杀死伊芙 朱迪科默各国语言口音混剪,https://www.bilibili.com/video/av52669589,影视|影视剪辑|剪辑,92173568,261,,f,2019/6/5
52670223,一只小熊被关进监狱，结果却成了监狱老大，连狱服都换了颜色！,https://www.bilibili.com/video/av52670223,影视|影视杂谈|科幻,92174317,291,,f,2019/6/5
52680525,【1080/漫威混剪】脆弱得几乎和凡人无别，却战斗到生命终结,https://www.bilibili.com/video/av52680525,影视|影视剪辑|影视剪辑,92192557,157,,f,2019/6/5
52699764,资生堂发布的史上最骚的ANESSA哲♂学防晒霜广告「向肌肉男学习aqua booster技术的流弊」,https://www.bilibili.com/video/av52699764,广告|日本广告,92225878,61,,f,2019/6/5
52702337,【HISHE】《蜘蛛侠：英雄远征》预告片该怎样结束 （内含复联4剧透）@柚子木字幕组,https://www.bilibili.com/video/av52702337,影视|影视杂谈|漫威,92230969,117,,f,2019/6/5
52724093,青楼美人群像 妖艳绝美系列（主/不完全）混剪/摸鱼 BGM:幸魂,https://www.bilibili.com/video/av52724093,影视|影视剪辑|影视剪影,92261327,67,,f,2019/6/5
52724733,ai换脸，假如王祖贤年轻三十一岁,https://www.bilibili.com/video/av52724733,影视|影视剪辑|古装,92268805,223,,f,2019/6/5
52739266,Goodbye Iron Man，i love u three thousand times！,https://www.bilibili.com/video/av52739266,影视|影视剪辑|剪辑,92292416,208,,f,2019/6/5
52741353,用水浒传的方式打开漫威：《漫威英雄谱》,https://www.bilibili.com/video/av52741353,影视|影视剪辑|影视剪影,92435553,141,,f,2019/6/5
52741762,国际反恐同日：第一视角体验同性恋者的困境,https://www.bilibili.com/video/av52741762,广告|创意,92296477,145,,f,2019/6/5
52751128,【战斗女神/欧美/踩点/1080】前方高能！使人目不暇接的女神踩点的视觉盛宴！强迫症的终极福音！,https://www.bilibili.com/video/av52751128,影视|影视剪辑|剪辑,92311714,205,,f,2019/6/5
52773622,【橘里橘气】震惊！美杜莎女王攻姐妹恋，在我的Bgm里没有萧炎！管好你的硬币,https://www.bilibili.com/video/av52773622,影视|影视剪辑|剪辑,92346666,215,,f,2019/6/5
52773679,复联4：为什么绿巨人戴无限手套痛苦万分，而钢铁侠却面无表情？,https://www.bilibili.com/video/av52773679,影视|影视杂谈|漫威,92350215,111,,f,2019/6/5
52775238,生活大爆炸最终集，这一巴掌，看哭了！！！,https://www.bilibili.com/video/av52775238,影视|影视剪辑|影视剪影,92352638,119,,f,2019/6/5
52777964,【大卫鲍伊X尊龙】摇滚歌手与京剧名旦二三事,https://www.bilibili.com/video/av52777964,影视|影视剪辑|影视剪影,92355069,175,,f,2019/6/5
52784149,【死侍X皮卡丘】你可曾见过如此沙雕的《美女与野兽》,https://www.bilibili.com/video/av52784149,影视|影视剪辑|影视剪辑,92366366,119,,f,2019/6/5
52812871,【钟丽缇】可性感可清纯！你亦无人比！,https://www.bilibili.com/video/av52812871,影视|影视剪辑|经典,92408973,189,,f,2019/6/5
52844214,【1080/漫威/衔接踩点向】前方高能！戴上耳机，体验这完美流畅的衔接踩点视觉盛宴！,https://www.bilibili.com/video/av52844214,影视|影视剪辑|影视剪影,92467849,230,,f,2019/6/5
52847856,【蜘蛛侠/1080P/三代混剪/平行宇宙】Never Say Never,https://www.bilibili.com/video/av52847856,影视|影视剪辑|剪辑,92473416,255,,f,2019/6/5
52851557,【权力的游戏】第五集播出后国外网友的爆笑沙雕玩梗图合集,https://www.bilibili.com/video/av52851557,影视|影视剪辑|剪辑,92478255,267,,f,2019/6/5
52852433,【科幻Fans】《戴夫造了个迷宫》，小伙用纸箱造迷宫，看起来也就狗窝大小，10个人却花3天才走出来,https://www.bilibili.com/video/av52852433,影视|影视杂谈|科幻,92481500,271,,f,2019/6/5
52855417,「日剧影混剪」在五月，我爱你丨MAY I LOVE YOU,https://www.bilibili.com/video/av52855417,影视|影视剪辑|爱情,92478592,205,,f,2019/6/5
52867234,神偷老奶奶被关进监狱，警察打个哈欠，她们就偷光了这里所有东西,https://www.bilibili.com/video/av52867234,影视|影视杂谈|影评,92505072,141,,f,2019/6/5
52869266,盘点《复联4》预告中的22个假镜头，雷神绿巨人隐藏的很深,https://www.bilibili.com/video/av52869266,影视|影视杂谈|漫威,92510595,248,,f,2019/6/5
52890025,男子帮女同事换衣服 结果却被整个办公室误会,https://www.bilibili.com/video/av52890025,影视|影视剪辑|爱情,92544234,89,,f,2019/6/5
52940966,真人版白雪公主，七个小矮人看着实在有点辣眼睛，一部喜剧奇幻电影,https://www.bilibili.com/video/av52940966,影视|影视杂谈|搞笑,92625841,215,,f,2019/6/5
52961038,【前方高能/完美踩点】你见过超级英雄式落地吗，高能踩点！Gladiator！漫威混剪！,https://www.bilibili.com/video/av52961038,影视|影视剪辑|影视剪影,92665101,78,,f,2019/6/5
